Regulator Gene	Target Gene	interaction	Motif id	NES	Assembly
Pura	Fcgr4	regulates via homer-M00159	homer-M00159	7.90831	mm9
Yy1	Fcgr1	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Yy1	Fcgr4	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Nfatc3	Fcgr1	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Nfatc3	Fcgr4	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Tbp	Fcgr1	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Tbp	Fcgr4	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Rela	Myo1g	regulates via transfac_pro-M03557	transfac_pro-M03557	7.40311	mm9
Stat6	Myo1g	regulates via transfac_pro-M03557	transfac_pro-M03557	7.40311	mm9
Rela	Fcgr4	regulates via jaspar-MA0061.1	jaspar-MA0061.1	7.35416	mm9
Bcl3	Fcgr4	regulates via jaspar-MA0061.1	jaspar-MA0061.1	7.35416	mm9
Ap3b1	Fcgr4	regulates via jaspar-MA0061.1	jaspar-MA0061.1	7.35416	mm9
Stat6	Fcgr4	regulates via jaspar-MA0061.1	jaspar-MA0061.1	7.35416	mm9
Ehf	Fcgr4	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Fcer1g	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ets1	Fcgr4	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ets1	Fcer1g	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Fcgr4	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
