Regulator Gene	Target Gene	interaction	Motif id	NES	Assembly
Pura	Il1b	regulates via homer-M00159	homer-M00159	7.90831	mm9
Pura	Cd74	regulates via homer-M00159	homer-M00159	7.90831	mm9
Pura	Aif1	regulates via homer-M00159	homer-M00159	7.90831	mm9
Yy1	Il1b	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Yy1	Cd74	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Yy1	Aif1	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Yy1	Tlr7	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Nfatc3	Il1b	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Nfatc3	Cd74	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Nfatc3	Aif1	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Nfatc3	Tlr7	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Tbp	Il1b	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Tbp	Cd74	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Tbp	Aif1	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Tbp	Tlr7	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Rela	Il1b	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Epha2	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Tnf	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Cd74	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Tlr7	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Tlr2	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Csf1r	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Aif1	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Bcl3	Il1b	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Bcl3	Epha2	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Bcl3	Tnf	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Bcl3	Cd74	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Bcl3	Tlr7	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Bcl3	Tlr2	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Bcl3	Csf1r	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Bcl3	Aif1	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Ap3b1	Il1b	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Ap3b1	Epha2	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Ap3b1	Tnf	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Ap3b1	Cd74	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Ap3b1	Tlr7	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Ap3b1	Tlr2	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Ap3b1	Csf1r	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Ap3b1	Aif1	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Il1b	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Epha2	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
