Regulator Gene	Target Gene	interaction	Motif id	NES	Assembly
Rela	Tlr2	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Tspo	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Bcl3	Tlr2	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Bcl3	Tspo	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Ap3b1	Tlr2	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Ap3b1	Tspo	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Tlr2	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Tspo	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Nfatc3	Tlr2	regulates via factorbook-NFKB1	factorbook-NFKB1	7.38741	mm9
Yy1	Tlr2	regulates via homer-M00293	homer-M00293	6.81108	mm9
Irf1	Tspo	regulates via transfac_pro-M03563	transfac_pro-M03563	6.39639	mm9
Irf1	Tlr2	regulates via transfac_pro-M03563	transfac_pro-M03563	6.39639	mm9
Irf2	Tlr2	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
Irf7	Tlr2	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
Irf5	Tlr2	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
Irf8	Tlr2	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
Irf9	Tlr2	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
Stat1	Tlr2	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
Stat2	Tlr2	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
Pura	Tlr2	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
Runx2	Tspo	regulates via tfdimers-MD00066	tfdimers-MD00066	4.53165	mm9
Ets1	Tspo	regulates via tfdimers-MD00066	tfdimers-MD00066	4.53165	mm9
Fli1	Tspo	regulates via tfdimers-MD00066	tfdimers-MD00066	4.53165	mm9
Ets2	Tspo	regulates via tfdimers-MD00066	tfdimers-MD00066	4.53165	mm9
Bptf	Tspo	regulates via tfdimers-MD00066	tfdimers-MD00066	4.53165	mm9
Runx3	Tspo	regulates via tfdimers-MD00066	tfdimers-MD00066	4.53165	mm9
Nr1h3	Tspo	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h2	Tspo	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Thra	Tspo	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Jun	Tspo	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Ap3b1	Trem2	regulates via jaspar-MA0105.1	jaspar-MA0105.1	3.87221	mm9
Ets2	Trem2	regulates via homer-M00046	homer-M00046	3.61452	mm9
Ets1	Trem2	regulates via homer-M00046	homer-M00046	3.61452	mm9
Fli1	Trem2	regulates via homer-M00046	homer-M00046	3.61452	mm9
Gata1	Trem2	regulates via homer-M00046	homer-M00046	3.61452	mm9
Ehf	Tspo	regulates via transfac_pro-M02041	transfac_pro-M02041	3.47321	mm9
Elf4	Tspo	regulates via transfac_pro-M02041	transfac_pro-M02041	3.47321	mm9
Nfatc3	Tspo	regulates via transfac_pro-M02041	transfac_pro-M02041	3.47321	mm9
Nlk	Trem2	regulates via yetfasco-1006	yetfasco-1006	3.3162	mm9
Smad3	Tspo	regulates via transfac_pro-M00792	transfac_pro-M00792	3.23493	mm9
Nfia	Tlr2	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfib	Tlr2	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfix	Tlr2	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Nfatc1	Tlr2	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
Usf1	Tlr2	regulates via transfac_public-M00193	transfac_public-M00193	3.07145	mm9
