Regulator Gene	Target Gene	interaction	Motif id	NES	Assembly
Pura	Il1b	regulates via homer-M00159	homer-M00159	7.90831	mm9
Pura	Cd74	regulates via homer-M00159	homer-M00159	7.90831	mm9
Yy1	Il1b	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Yy1	Cd74	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Yy1	Tlr7	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Yy1	Cd14	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Nfatc3	Il1b	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Nfatc3	Cd74	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Nfatc3	Tlr7	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Nfatc3	Cd14	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Tbp	Il1b	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Tbp	Cd74	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Tbp	Tlr7	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Tbp	Cd14	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Rela	Il1b	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Tnf	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Cd74	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Tlr7	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Tlr2	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Bcl3	Il1b	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Bcl3	Tnf	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Bcl3	Cd74	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Bcl3	Tlr7	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Bcl3	Tlr2	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Ap3b1	Il1b	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Ap3b1	Tnf	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Ap3b1	Cd74	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Ap3b1	Tlr7	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Ap3b1	Tlr2	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Il1b	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Tnf	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Cd74	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Tlr7	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	Tlr2	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Nfatc3	Tlr2	regulates via factorbook-NFKB1	factorbook-NFKB1	7.38741	mm9
Nfatc3	Tnf	regulates via factorbook-NFKB1	factorbook-NFKB1	7.38741	mm9
Ehf	Il1b	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ehf	Cd74	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ets1	Il1b	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ets1	Cd74	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
