Regulator Gene	Target Gene	interaction	Motif id	NES	Assembly
Pura	Il1b	regulates via homer-M00159	homer-M00159	7.90831	mm9
Pura	Laptm5	regulates via homer-M00159	homer-M00159	7.90831	mm9
Pura	Ptpn6	regulates via homer-M00159	homer-M00159	7.90831	mm9
Pura	Cd74	regulates via homer-M00159	homer-M00159	7.90831	mm9
Pura	Aif1	regulates via homer-M00159	homer-M00159	7.90831	mm9
Yy1	Il1b	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Yy1	Cd74	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Yy1	Elf4	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Yy1	Aif1	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Yy1	Laptm5	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Yy1	Ptpn6	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Yy1	Tlr7	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Yy1	Tyrobp	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Nfatc3	Il1b	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Nfatc3	Cd74	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Nfatc3	Elf4	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
