Regulator Gene	Target Gene	interaction	Motif id	NES	Assembly
Pura	Il1b	regulates via homer-M00159	homer-M00159	7.90831	mm9
Pura	Laptm5	regulates via homer-M00159	homer-M00159	7.90831	mm9
Pura	Calr	regulates via homer-M00159	homer-M00159	7.90831	mm9
Yy1	Il1b	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Yy1	Laptm5	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Yy1	Tlr7	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Nfatc3	Il1b	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Nfatc3	Laptm5	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Nfatc3	Tlr7	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Tbp	Il1b	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Tbp	Laptm5	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Tbp	Tlr7	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Rela	Nfkbia	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Il1b	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Tnf	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Laptm5	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Rela	Tlr7	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
