Regulator Gene	Target Gene	interaction	Motif id	NES	Assembly
Pura	Mpeg1	regulates via homer-M00159	homer-M00159	7.90831	mm9
Pura	Cd52	regulates via homer-M00159	homer-M00159	7.90831	mm9
Yy1	Mpeg1	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Yy1	Cd52	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Nfatc3	Mpeg1	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Nfatc3	Cd52	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Tbp	Mpeg1	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Tbp	Cd52	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Rela	H2-Eb1	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Bcl3	H2-Eb1	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Ap3b1	H2-Eb1	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Stat6	H2-Eb1	regulates via transfac_public-M00054	transfac_public-M00054	7.47607	mm9
Nfatc3	H2-Eb1	regulates via factorbook-NFKB1	factorbook-NFKB1	7.38741	mm9
Ehf	Mpeg1	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ets1	Mpeg1	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Mpeg1	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ltf	Mpeg1	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Yy1	H2-Eb1	regulates via homer-M00293	homer-M00293	6.81108	mm9
Irf1	H2-Eb1	regulates via transfac_pro-M03563	transfac_pro-M03563	6.39639	mm9
E2f6	Mpeg1	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
E2f6	Cd52	regulates via factorbook-PU1	factorbook-PU1	6.1267	mm9
Irf2	Psme1	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
Irf2	Psmb9	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
Irf1	Psme1	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
Irf1	Psmb9	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
Irf7	Psme1	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
Irf7	Psmb9	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
Irf5	Psme1	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
Irf5	Psmb9	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
Irf8	Psme1	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
Irf8	Psmb9	regulates via swissregulon-IRF1-2-7.p3	swissregulon-IRF1-2-7.p3	5.83392	mm9
