Regulator Gene	Target Gene	interaction	Motif id	NES	Assembly
Pura	Hk3	regulates via homer-M00159	homer-M00159	7.90831	mm9
Pura	Plbd1	regulates via homer-M00159	homer-M00159	7.90831	mm9
Yy1	Plbd1	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Yy1	Cndp2	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Yy1	Pgd	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Nfatc3	Plbd1	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Nfatc3	Cndp2	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Nfatc3	Pgd	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Tbp	Plbd1	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Tbp	Cndp2	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Tbp	Pgd	regulates via taipale-AAAAAGMGGAAGTN-SPIB-DBD	taipale-AAAAAGMGGAAGTN-SPIB-DBD	7.51948	mm9
Ehf	Plbd1	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ets1	Plbd1	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Gata1	Plbd1	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ltf	Plbd1	regulates via jaspar-PB0058.1	jaspar-PB0058.1	6.82679	mm9
Ets1	Cndp2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Plbd1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Fli1	Cndp2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Plbd1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Elf4	Cndp2	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
Ets2	Plbd1	regulates via transfac_pro-M01204	transfac_pro-M01204	5.34903	mm9
