"gene","atac_log2FC","atac_padj","is_sig_open","is_sig_close","regulating_TFs","n_regulating_TFs"
"H2-Ab1",1.30405244005055,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1",2
"Ncf1",1.12627087287035,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3",3
"S100a8",0.679782337313198,0.999946325325023,FALSE,FALSE,"Nfatc3",1
"Lyz2",0.66730841075694,0.999946325325023,FALSE,FALSE,"Nfatc3",1
"E2f8",0.463718565628158,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Cebpb, Myf6",5
"Slc15a3",0.443856042817998,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1",2
"Cebpa",0.439729576687936,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3",3
"Il1b",0.426118417078127,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Cebpb, Myf6",5
"Hk3",0.421724520062141,0.999946325325023,FALSE,FALSE,"Nfatc3",1
"Ptger4",0.420651963683291,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3",3
"Lrrc25",0.417209738453785,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra",4
"Tlr7",0.41635413596493,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Cebpb",4
"Pgd",0.41036936148989,0.999946325325023,FALSE,FALSE,"Nfatc3, Smad3",2
"Erp29",0.368733796768603,0.999946325325023,FALSE,FALSE,"Nfatc3",1
"Cxcl12",0.32485996456085,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3",3
"Kcnk6",0.317934542357705,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Myf6",4
"Ucp2",0.300770320846953,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3",3
"Cd180",0.295299526045998,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra, Nfia, Myf6",6
"Ptpn6",0.282417418849242,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Cebpb",4
"Tmbim6",0.279609281744541,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Cebpb, Myf6",4
"Ncf2",0.274540164809016,0.999946325325023,FALSE,FALSE,"Nfatc3, Smad3, Nfia",3
"Nfkbia",0.273598182281628,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Thra",3
"Sla",0.27244067967654,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra",4
"Nfkbiz",0.258485925342637,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Cebpb",4
"Dock8",0.217771589076918,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3",3
"Vasp",0.215268183889161,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra, Myf6",5
"Tspan14",0.21457781259517,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra",4
"Cadm1",0.205315539938362,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Cebpb, Myf6",5
"Itm2c",0.202748261076833,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra, Nfia",5
"H2-Eb1",0.200323074627293,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1",2
"Ctsc",0.194046621911996,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1",2
"Plaur",0.17462783214365,0.999946325325023,FALSE,FALSE,"Nfatc3, Nfia",2
"Serpine2",0.168910402937102,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra, Myf6",5
"Pld4",0.165014006583302,0.999946325325023,FALSE,FALSE,"Nfatc3",1
"Lsp1",0.163315495336273,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra",4
"Socs3",0.157619544096411,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1, Smad3, Thra",4
"Sparcl1",0.156146841904247,0.999946325325023,FALSE,FALSE,"Nfatc3, Stat1",2
