"functional_group","TF","specificity","n_expr","cliff_clean"
"GO_cell_death","Nfatc3_cluster",1.08866279069767,56,-0.614754098360656
"GO_cell_death","Stat1_cluster",1.02509124087591,42,-0.205029013539652
"GO_cell_death","Smad3_cluster",1.16007653061224,34,-0.0598290598290598
"GO_cell_death","Thra_cluster",0.917892156862745,14,-0.113684210526316
"GO_cell_death","Cebpb_cluster",1.7514880952381,11,0.00589622641509434
"GO_cell_death","Nfia_cluster",1.18014705882353,6,-0.0407523510971787
"GO_cell_death","Myf6_cluster",1.20375,9,-0.15974025974026
"GO_metabolism","Nfatc3_cluster",1.06473613595707,89,-0.370921985815603
"GO_metabolism","Stat1_cluster",1.0513756316676,70,-0.101960784313725
"GO_metabolism","Smad3_cluster",1.02884615384615,49,0.102693602693603
"GO_metabolism","Thra_cluster",0.88763197586727,22,-0.00451671183378501
"GO_metabolism","Cebpb_cluster",1.37179487179487,14,0.145029239766082
"GO_metabolism","Nfia_cluster",0.968325791855204,8,0.0240384615384615
"GO_metabolism","Myf6_cluster",1.31692307692308,16,-0.154761904761905
"LLM_cell_death","Nfatc3_cluster",1.05064599483204,38,-0.578073089700997
"LLM_cell_death","Stat1_cluster",0.937226277372263,27,-0.0347222222222222
"LLM_cell_death","Smad3_cluster",1.11609977324263,23,0.012987012987013
"LLM_cell_death","Thra_cluster",1.21220043572985,13,-0.0902777777777778
"LLM_cell_death","Cebpb_cluster",1.58518518518519,7,0.166666666666667
"LLM_cell_death","Nfia_cluster",1.39869281045752,5,-0.105
"LLM_cell_death","Myf6_cluster",1.14133333333333,6,-0.0512820512820513
"LLM_metabolism","Nfatc3_cluster",1.06357839459865,53,-0.297413793103448
"LLM_metabolism","Stat1_cluster",0.856604662114434,34,0.117758784425451
"LLM_metabolism","Smad3_cluster",0.704410796576695,20,0.107317073170732
"LLM_metabolism","Thra_cluster",0.879822896900696,13,0.185185185185185
"LLM_metabolism","Cebpb_cluster",0.657450076804916,4,0.226120857699805
"LLM_metabolism","Nfia_cluster",0.812144212523719,4,0.113060428849903
"LLM_metabolism","Myf6_cluster",0.552258064516129,4,-0.10916179337232
