"functional_group","TF","specificity","n_expr","cliff_clean"
"GO_cell_death","Ap3b1",1.18551136363636,39,-0.0572727272727273
"GO_cell_death","Bcl3",1.07477678571429,36,-0.17595818815331
"GO_cell_death","Bptf",1.05742521367521,37,-0.0890652557319224
"GO_cell_death","Cebpa",1.7514880952381,11,0.00589622641509434
"GO_cell_death","Cebpb",1.7514880952381,11,0.00589622641509434
"GO_cell_death","Cebpd",1.7514880952381,11,0.00589622641509434
"GO_cell_death","E2f6",0.90625,29,-0.207563025210084
"GO_cell_death","Ehf",1.04846398305085,37,-0.254850088183421
"GO_cell_death","Elf4",1.09675,41,-0.299621928166352
"GO_cell_death","Ets1",1.05089285714286,44,-0.257142857142857
"GO_cell_death","Ets2",1.0661231884058,44,-0.257142857142857
"GO_cell_death","Fli1",1.08981481481481,44,-0.257142857142857
"GO_cell_death","Gata1",1.00026709401709,35,-0.181896551724138
"GO_cell_death","Irf1",1.07680084745763,38,-0.270125223613596
"GO_cell_death","Irf2",1.07743055555556,29,-0.335294117647059
"GO_cell_death","Irf5",1.07743055555556,29,-0.335294117647059
"GO_cell_death","Irf7",1.07743055555556,29,-0.335294117647059
"GO_cell_death","Irf8",1.0426747311828,29,-0.335294117647059
"GO_cell_death","Irf9",1.05400815217391,29,-0.335294117647059
"GO_cell_death","Jun",0.869375,13,-0.131808278867102
"GO_cell_death","Ltf",0.928819444444444,25,-0.0931623931623932
"GO_cell_death","Mtor",0.743055555555556,4,-0.17037037037037
"GO_cell_death","Mxd4",1.20375,9,-0.15974025974026
"GO_cell_death","Myf6",1.20375,9,-0.15974025974026
"GO_cell_death","Nfatc1",1.18014705882353,6,-0.0407523510971787
"GO_cell_death","Nfatc3",1.10705236486486,49,-0.337037037037037
"GO_cell_death","Nfia",1.18014705882353,6,-0.0407523510971787
"GO_cell_death","Nfib",1.18014705882353,6,-0.0407523510971787
"GO_cell_death","Nfix",1.18014705882353,6,-0.0407523510971787
"GO_cell_death","Nlk",1.51988636363636,5,-0.113559322033898
"GO_cell_death","Nr1h2",0.869375,13,-0.131808278867102
"GO_cell_death","Nr1h3",0.869375,13,-0.131808278867102
"GO_cell_death","Nr3c1",0.900240384615385,21,-0.229874776386404
"GO_cell_death","Pura",1.01465517241379,44,-0.185714285714286
"GO_cell_death","Rela",1.14244791666667,41,-0.05765595463138
"GO_cell_death","Runx1",0.8359375,10,0.0148148148148148
"GO_cell_death","Runx2",0.985526315789474,28,-0.102693602693603
"GO_cell_death","Runx3",0.999281609195402,26,-0.0288624787775891
"GO_cell_death","Smad3",1.11458333333333,16,-0.180555555555556
"GO_cell_death","Sox10",1.671875,4,-0.0851851851851852
"GO_cell_death","Stat1",1.03497023809524,39,-0.180909090909091
"GO_cell_death","Stat2",1.08080808080808,32,-0.182432432432432
"GO_cell_death","Stat3",0.897103658536585,11,0.0955188679245283
"GO_cell_death","Stat6",1.11458333333333,35,-0.0301724137931034
"GO_cell_death","Tbp",0.972727272727273,32,-0.222972972972973
"GO_cell_death","Tfeb",1.20375,9,-0.15974025974026
"GO_cell_death","Thra",0.917892156862745,14,-0.113684210526316
"GO_cell_death","Usf1",1.18014705882353,6,-0.0407523510971787
"GO_cell_death","Yy1",1.12254464285714,47,-0.311085972850679
"GO_metabolism","Ap3b1",1.12237762237762,60,-0.0692307692307692
"GO_metabolism","Bcl3",1.10233516483516,60,-0.132867132867133
"GO_metabolism","Bptf",0.967291255752794,55,0.0615646258503401
"GO_metabolism","Cebpa",1.37179487179487,14,0.145029239766082
"GO_metabolism","Cebpb",1.37179487179487,14,0.145029239766082
