"cluster","cluster_label","gene"
1,"Nfatc3_cluster","Apobr"
1,"Nfatc3_cluster","Arrdc2"
1,"Nfatc3_cluster","Calr"
1,"Nfatc3_cluster","Cd177"
1,"Nfatc3_cluster","Cd68"
1,"Nfatc3_cluster","Cd84"
1,"Nfatc3_cluster","Ddost"
1,"Nfatc3_cluster","Erp29"
1,"Nfatc3_cluster","Fgfr4"
1,"Nfatc3_cluster","Hk3"
1,"Nfatc3_cluster","Hspbp1"
1,"Nfatc3_cluster","Igtp"
1,"Nfatc3_cluster","Il18rap"
1,"Nfatc3_cluster","Lrg1"
1,"Nfatc3_cluster","Ly6e"
1,"Nfatc3_cluster","Lyl1"
1,"Nfatc3_cluster","Lyz2"
1,"Nfatc3_cluster","Nmnat2"
1,"Nfatc3_cluster","Npc2"
1,"Nfatc3_cluster","Pdia6"
1,"Nfatc3_cluster","Pld4"
1,"Nfatc3_cluster","S100a8"
1,"Nfatc3_cluster","Tyrobp"
1,"Nfatc3_cluster","Ybx2"
2,"Stat1_cluster","H2-M3"
2,"Stat1_cluster","H2-T22"
2,"Stat1_cluster","Ifitm3"
2,"Stat1_cluster","Oas1a"
3,"Smad3_cluster","Slfn4"
3,"Smad3_cluster","Tbc1d13"
4,"Thra_cluster","S100a9"
