"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"S100a9",54.7106625571314,8.97194688288082,1.14044431975454,7.86706262416381,3.63064924730747e-15,6.50866490564811e-11
"S100a8",24.8653411988413,7.91254170595997,1.21707032306192,6.50130198397533,7.96278010709367e-11,7.13743794899341e-07
"Oxtr",85.3599334636995,-7.04894255332235,1.12902653484338,-6.24338076722012,4.28212760548405e-10,2.55885671945042e-06
"Adam11",1250.37208793411,-0.594896024426723,0.106702863901778,-5.57525827024041,2.47162896394883e-08,0.000110772231091777
"Retnlg",7.26529145227289,5.97730122940554,1.14596438402761,5.21595724327636,1.82870358229143e-07,0.000655663382394769
"Disp3",196.261836373797,-0.661105306479555,0.12852619823874,-5.14373968528611,2.69322657114588e-07,0.00080469121234887
"Ltf",10.6834612990283,6.99831957745883,1.37610207511735,5.08561080170018,3.66444821539008e-07,0.000877115811629235
"Rxfp3",212.970320633432,0.959417092547336,0.189119049013849,5.07308543243085,3.91416661629602e-07,0.000877115811629235
"Ccl12",16.9568506899206,3.24409000511727,0.694541059384172,4.67083977438814,2.99970857278592e-06,0.00597508617603702
"Psd",883.777672871088,-0.397493562692514,0.0871891379379156,-4.558980305271,5.14025909930846e-06,0.00921494248733028
"Serpine2",158.932620146726,1.00785275648192,0.226991634125759,4.44004361818702,8.99406467176999e-06,0.0137015526641874
"Nefm",449.356467000349,-1.55729272472295,0.352078820196067,-4.42313662564457,9.72781805315181e-06,0.0137015526641874
"Ntrk2",577.709854377676,-0.494056151980242,0.111965841534827,-4.41256141344291,1.02154804232943e-05,0.0137015526641874
"Mki67",13.6527172950295,2.87175963165575,0.652299312408443,4.40251825661525,1.07001582695723e-05,0.0137015526641874
"Eml5",1887.31023505762,-0.501291838428248,0.114364827933031,-4.38326929256425,1.1691144912109e-05,0.0139724769892919
"Adamts19",10.3965145638225,-3.48222010560497,0.799107441872472,-4.35763693733776,1.31474239806727e-05,0.014730866856345
"Ifitm1",4.26998428526427,5.06010815617999,1.16592997537913,4.33997603889939,1.4249825316114e-05,0.0150268599083515
"Slfn4",7.77233886942945,5.57883250416137,1.31817157296814,4.23225065580762,2.3136435011242e-05,0.0230426039136964
"Lcn2",11.5074267509099,4.60808581867341,1.09900413033043,4.19296496846462,2.75331974889684e-05,0.0256058319444827
"Nol4l",368.632298285465,-0.491349822333583,0.11746510951285,-4.1829426999328,2.87759938323916e-05,0.0256058319444827
"Celf3",928.384438827481,-0.639622345892762,0.153698426088371,-4.16154128686394,3.1610683171094e-05,0.0256058319444827
"Sv2c",300.945906000945,-1.20381661394362,0.290289936481857,-4.14694573478218,3.36939879840336e-05,0.0256058319444827
