"rank","input_symbol","mouse_symbol","mouse_ensembl","human_symbol","human_ensembl","orthology_type","orthology_confidence","ambiguous","use_primary_analysis"
"Rank 1","TNF","Tnf","ENSMUSG00000024401","TNF","ENSG00000232810","ortholog_one2one",1,"N","Y"
"Rank 1","IL1B","Il1b","ENSMUSG00000027398","IL1B","ENSG00000125538","ortholog_one2one",1,"N","Y"
"Rank 1","STAT1","Stat1","ENSMUSG00000026104","STAT1","ENSG00000115415","ortholog_one2one",1,"N","Y"
"Rank 1","PSMB8","Psmb8","ENSMUSG00000024338","PSMB8","ENSG00000204264","ortholog_one2one",1,"N","Y"
"Rank 1","PSMB9","Psmb9","ENSMUSG00000096727","PSMB9","ENSG00000240065","ortholog_one2one",1,"N","Y"
"Rank 1","PSMB10","Psmb10","ENSMUSG00000031897","PSMB10","ENSG00000205220","ortholog_one2one",1,"N","Y"
"Rank 1","PSME1","Psme1","ENSMUSG00000022216","PSME1","ENSG00000092010","ortholog_one2one",1,"N","Y"
"Rank 1","CXCL10","Cxcl10","ENSMUSG00000034855","CXCL10","ENSG00000169245","ortholog_one2one",1,"N","Y"
"Rank 1","PGD","Pgd","ENSMUSG00000028961","PGD","ENSG00000142657","ortholog_one2one",1,"N","Y"
"Rank 1","HK3","Hk3","ENSMUSG00000025877","HK3","ENSG00000160883","ortholog_one2one",1,"N","Y"
"Rank 1","NMNAT2","Nmnat2","ENSMUSG00000042751","NMNAT2","ENSG00000157064","ortholog_one2one",1,"N","Y"
"Rank 1","CYBB","Cybb","ENSMUSG00000015340","CYBB","ENSG00000165168","ortholog_one2one",1,"N","Y"
"Rank 1","NCF1","Ncf1","ENSMUSG00000015950","NCF1","ENSG00000158517","ortholog_one2one",1,"N","Y"
"Rank 1","NCF2","Ncf2","ENSMUSG00000026480","NCF2","ENSG00000116701","ortholog_one2one",1,"N","Y"
"Rank 1","RAC2","Rac2","ENSMUSG00000033220","RAC2","ENSG00000128340","ortholog_one2one",1,"N","Y"
"Rank 1","PREX1","Prex1","ENSMUSG00000039621","PREX1","ENSG00000124126","ortholog_one2one",1,"N","Y"
"Rank 1","PIK3CG","Pik3cg","ENSMUSG00000020573","PIK3CG","ENSG00000105851","ortholog_one2one",1,"N","Y"
"Rank 1","PLCB2","Plcb2","ENSMUSG00000040061","PLCB2","ENSG00000137841","ortholog_one2one",1,"N","Y"
"Rank 1","PRKCD","Prkcd","ENSMUSG00000021948","PRKCD","ENSG00000163932","ortholog_one2one",1,"N","Y"
"Rank 1","VAV1","Vav1","ENSMUSG00000034116","VAV1","ENSG00000141968","ortholog_one2one",1,"N","Y"
"Rank 1","FGR","Fgr","ENSMUSG00000028874","FGR","ENSG00000000938","ortholog_one2one",1,"N","Y"
"Rank 1","S100A8","S100a8","ENSMUSG00000056054","S100A8","ENSG00000143546","ortholog_one2one",1,"N","Y"
"Rank 1","S100A9","S100a9","ENSMUSG00000056071","S100A9","ENSG00000163220","ortholog_one2many",1,"Y","N"
"Rank 1","XDH","Xdh","ENSMUSG00000024066","XDH","ENSG00000158125","ortholog_one2one",1,"N","Y"
"Rank 1","LCN2","Lcn2","ENSMUSG00000026822","LCN2","ENSG00000148346","ortholog_one2one",1,"N","Y"
"Rank 1","HP","Hp","ENSMUSG00000031722","HPR","ENSG00000261701","ortholog_one2many",1,"Y","N"
"Rank 1","HP","Hp","ENSMUSG00000031722","HP","ENSG00000257017","ortholog_one2many",1,"Y","N"
"Rank 1","LTF","Ltf","ENSMUSG00000032496","LTF","ENSG00000012223","ortholog_one2one",1,"N","Y"
"Rank 1","ABCC3","Abcc3","ENSMUSG00000020865","ABCC3","ENSG00000108846","ortholog_one2one",1,"N","Y"
"Rank 1","NPC2","Npc2","ENSMUSG00000021242","NPC2","ENSG00000119655","ortholog_one2one",1,"N","Y"
